event_name	tweet_id	image_id	tweet_text	image	label	label_text	label_image	label_text_image
mexico_earthquake	910524419390369792	910524419390369792_0	Prayers for the millions people affected by the powerful earthquake in Mexico. á½‰Aá¼Ÿ2á¼ŸDâ¤ï¸ #MexicoFuerte #MexicoCity https://t.co/oMvAvXiF1e	data_image/mexico_earthquake/20_9_2017/910524419390369792_0.jpg	not_humanitarian	not_humanitarian	not_humanitarian	Positive
california_wildfires	922436953433366531	922436953433366531_0	3 jaw-dropping videos from the California wildfires https://t.co/tyZ234J6tN https://t.co/Pv7dekskWY	data_image/california_wildfires/23_10_2017/922436953433366531_0.jpg	other_relevant_information	other_relevant_information	other_relevant_information	Positive
california_wildfires	920320104839237632	920320104839237632_0	California woman stole from fire evacuees in SantaÂ Rosa https://t.co/IG68rWC2zm https://t.co/WY7fnIRRuS	data_image/california_wildfires/17_10_2017/920320104839237632_0.jpg	not_humanitarian	not_humanitarian	not_humanitarian	Positive
california_wildfires	920621738932649985	920621738932649985_0	Oregon strike teams return home from battling wildfires in California #LiveonK2 https://t.co/WPeBzeusMc https://t.co/lfKmABu6hi	data_image/california_wildfires/18_10_2017/920621738932649985_0.jpg	rescue_volunteering_or_donation_effort	rescue_volunteering_or_donation_effort	rescue_volunteering_or_donation_effort	Positive
california_wildfires	923030194096656384	923030194096656384_0	#Firefighters Quickly Contain Clifftop Brush #Fire S.F: https://t.co/NxttN5afcO, https://t.co/pfUCIAhERA https://t.co/5sR4B6MRjL	data_image/california_wildfires/25_10_2017/923030194096656384_0.jpg	rescue_volunteering_or_donation_effort	rescue_volunteering_or_donation_effort	rescue_volunteering_or_donation_effort	Positive
iraq_iran_earthquake	930069080173723648	930069080173723648_0	My heart goes with Iran and Iraq 7.3 #earthquake . Pray for sarpol-e zahab and #Kurdistan ὤFὤFὤF὚4὚4὚4 https://t.co/rSvmmreHlj	data_image/iraq_iran_earthquake/13_11_2017/930069080173723648_0.jpg	not_humanitarian	not_humanitarian	not_humanitarian	Positive
iraq_iran_earthquake	930536595324682240	930536595324682240_0	#Earthquake ML 3.9 EASTERN IRAN https://t.co/S3WsORq28Q - EMSC https://t.co/IiUBm1UJmr	data_image/iraq_iran_earthquake/14_11_2017/930536595324682240_0.jpg	other_relevant_information	other_relevant_information	other_relevant_information	Positive
iraq_iran_earthquake	930878705265717249	930878705265717249_0	#Iran criticised for #earthquake response Details : https://t.co/oXhBqXYJjC https://t.co/kiVz3NK1zt	data_image/iraq_iran_earthquake/15_11_2017/930878705265717249_0.jpg	not_humanitarian	not_humanitarian	not_humanitarian	Positive
srilanka_floods	876871512250122242	876871512250122242_0	Mora's midnight bakery âœ¨Moon sea jellyá¼±9 https://t.co/2h361JOsfE	data_image/srilanka_floods/19_6_2017/876871512250122242_0.jpg	not_humanitarian	not_humanitarian	not_humanitarian	Positive
srilanka_floods	870392021319417857	870392021319417857_0	Mr Richmond -Hates Mr Mora -Doesnt stop talking about Soccer -Has never spoken to a female student https://t.co/bpMH3goTZH	data_image/srilanka_floods/1_6_2017/870392021319417857_0.jpg	not_humanitarian	not_humanitarian	not_humanitarian	Positive
srilanka_floods	879368692517273601	879368692517273601_0	A serene environment and a fierce ride. Photo by Adrian Mora Maroto. #DS5 #DSPERFORMANCELINE https://t.co/bh6JqOLKXf	data_image/srilanka_floods/26_6_2017/879368692517273601_0.jpg	not_humanitarian	not_humanitarian	not_humanitarian	Positive
srilanka_floods	871056873121820672	871056873121820672_0	Mora 740 MG Fixed Blade Bushcraft Knife Review https://t.co/bnbWyEKENZ https://t.co/tw27UWXHl2	data_image/srilanka_floods/3_6_2017/871056873121820672_0.jpg	not_humanitarian	not_humanitarian	not_humanitarian	Positive
